===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  6
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/dblp1/
===================configuration===================
# Epochs:0
Train acc:0.509562, Val acc:0.510506, Test acc:0.514905,
Train Loss mape:4.568524, Val Loss mape:4.889079, Test Loss mape:4.148089,

# Epochs:31
Train Loss MSEL:1.942343, Val Loss MSEL:2.007456, Test Loss MSEL:1.965121,
Train Loss mSEL:0.827202, Val Loss mSEL:0.844563, Test Loss mSEL:0.827720,
Train acc:0.509041, Val acc:0.510631, Test acc:0.512918,
Train Loss mape:4.568613, Val Loss mape:4.929878, Test Loss mape:4.189540,

# Epochs:32
Train Loss MSEL:1.934176, Val Loss MSEL:1.979322, Test Loss MSEL:1.936938,
Train Loss mSEL:0.824174, Val Loss mSEL:0.842315, Test Loss mSEL:0.817137,
Train acc:0.510248, Val acc:0.508776, Test acc:0.514563,
Train Loss mape:4.569008, Val Loss mape:4.822369, Test Loss mape:4.057572,

# Epochs:33
Train Loss MSEL:1.929758, Val Loss MSEL:1.981474, Test Loss MSEL:1.943208,
Train Loss mSEL:0.824739, Val Loss mSEL:0.850464, Test Loss mSEL:0.809239,
Train acc:0.512293, Val acc:0.505265, Test acc:0.510562,
Train Loss mape:4.560251, Val Loss mape:4.790083, Test Loss mape:4.017672,

# Epochs:34
Train Loss MSEL:1.930140, Val Loss MSEL:1.981633, Test Loss MSEL:1.940377,
Train Loss mSEL:0.824281, Val Loss mSEL:0.834214, Test Loss mSEL:0.813326,
Train acc:0.511670, Val acc:0.510249, Test acc:0.515079,
Train Loss mape:4.566155, Val Loss mape:4.849044, Test Loss mape:4.111515,

# Epochs:35
Train Loss MSEL:1.933451, Val Loss MSEL:1.978256, Test Loss MSEL:1.935582,
Train Loss mSEL:0.823237, Val Loss mSEL:0.845047, Test Loss mSEL:0.808272,
Train acc:0.511314, Val acc:0.508359, Test acc:0.514863,
Train Loss mape:4.563360, Val Loss mape:4.839732, Test Loss mape:4.048503,

# Epochs:36
Train Loss MSEL:1.931840, Val Loss MSEL:2.002711, Test Loss MSEL:1.957964,
Train Loss mSEL:0.824946, Val Loss mSEL:0.839500, Test Loss mSEL:0.825013,
Train acc:0.511081, Val acc:0.511825, Test acc:0.514905,
Train Loss mape:4.574301, Val Loss mape:4.960637, Test Loss mape:4.107807,

# Epochs:37
Train Loss MSEL:1.935608, Val Loss MSEL:1.975660, Test Loss MSEL:1.934008,
Train Loss mSEL:0.828647, Val Loss mSEL:0.845096, Test Loss mSEL:0.809285,
Train acc:0.510373, Val acc:0.508765, Test acc:0.515667,
Train Loss mape:4.569480, Val Loss mape:4.793224, Test Loss mape:4.062972,

# Epochs:38
Train Loss MSEL:1.931763, Val Loss MSEL:1.991262, Test Loss MSEL:1.951035,
Train Loss mSEL:0.820215, Val Loss mSEL:0.837481, Test Loss mSEL:0.827597,
Train acc:0.511172, Val acc:0.511399, Test acc:0.515924,
Train Loss mape:4.567657, Val Loss mape:4.889863, Test Loss mape:4.091125,

# Epochs:39
Train Loss MSEL:1.929055, Val Loss MSEL:1.976973, Test Loss MSEL:1.936914,
Train Loss mSEL:0.823420, Val Loss mSEL:0.836419, Test Loss mSEL:0.814462,
Train acc:0.512969, Val acc:0.510601, Test acc:0.515667,
Train Loss mape:4.570404, Val Loss mape:4.853079, Test Loss mape:4.091588,

# Epochs:40
Train Loss MSEL:1.932586, Val Loss MSEL:2.028453, Test Loss MSEL:1.983290,
Train Loss mSEL:0.821599, Val Loss mSEL:0.847609, Test Loss mSEL:0.826898,
Train acc:0.511412, Val acc:0.511302, Test acc:0.513747,
Train Loss mape:4.572051, Val Loss mape:4.974512, Test Loss mape:4.240685,

# Epochs:41
Train Loss MSEL:1.929625, Val Loss MSEL:1.979550, Test Loss MSEL:1.935190,
Train Loss mSEL:0.820568, Val Loss mSEL:0.846079, Test Loss mSEL:0.811576,
Train acc:0.511779, Val acc:0.506138, Test acc:0.512931,
Train Loss mape:4.568772, Val Loss mape:4.831161, Test Loss mape:4.012224,

# Epochs:42
Train Loss MSEL:1.936802, Val Loss MSEL:1.982998, Test Loss MSEL:1.939122,
Train Loss mSEL:0.822496, Val Loss mSEL:0.833955, Test Loss mSEL:0.815138,
Train acc:0.509815, Val acc:0.511062, Test acc:0.515585,
Train Loss mape:4.567229, Val Loss mape:4.867051, Test Loss mape:4.069127,

# Epochs:43
Train Loss MSEL:1.937049, Val Loss MSEL:1.990765, Test Loss MSEL:1.948000,
Train Loss mSEL:0.830332, Val Loss mSEL:0.833260, Test Loss mSEL:0.824257,
Train acc:0.511132, Val acc:0.511439, Test acc:0.515162,
Train Loss mape:4.564837, Val Loss mape:4.892589, Test Loss mape:4.105897,

# Epochs:44
Train Loss MSEL:1.932950, Val Loss MSEL:1.976167, Test Loss MSEL:1.932425,
Train Loss mSEL:0.832170, Val Loss mSEL:0.844991, Test Loss mSEL:0.810325,
Train acc:0.510213, Val acc:0.508107, Test acc:0.516253,
Train Loss mape:4.564889, Val Loss mape:4.811730, Test Loss mape:4.046865,

# Epochs:45
Train Loss MSEL:1.936435, Val Loss MSEL:1.985543, Test Loss MSEL:1.943689,
Train Loss mSEL:0.824064, Val Loss mSEL:0.831365, Test Loss mSEL:0.815255,
Train acc:0.510363, Val acc:0.511634, Test acc:0.515462,
Train Loss mape:4.566114, Val Loss mape:4.882288, Test Loss mape:4.083971,

# Epochs:46
Train Loss MSEL:1.934166, Val Loss MSEL:1.978180, Test Loss MSEL:1.937779,
Train Loss mSEL:0.822641, Val Loss mSEL:0.836450, Test Loss mSEL:0.810800,
Train acc:0.511470, Val acc:0.509513, Test acc:0.515884,
Train Loss mape:4.567982, Val Loss mape:4.845417, Test Loss mape:4.097245,

# Epochs:47
Train Loss MSEL:1.928604, Val Loss MSEL:1.977096, Test Loss MSEL:1.934830,
Train Loss mSEL:0.824069, Val Loss mSEL:0.845014, Test Loss mSEL:0.810591,
Train acc:0.512794, Val acc:0.509542, Test acc:0.515434,
Train Loss mape:4.565021, Val Loss mape:4.820800, Test Loss mape:4.040225,

# Epochs:48
Train Loss MSEL:1.929965, Val Loss MSEL:2.000584, Test Loss MSEL:1.956748,
Train Loss mSEL:0.823268, Val Loss mSEL:0.835631, Test Loss mSEL:0.825727,
Train acc:0.512370, Val acc:0.512089, Test acc:0.515871,
Train Loss mape:4.570720, Val Loss mape:4.942870, Test Loss mape:4.125108,

# Epochs:49
Train Loss MSEL:1.930991, Val Loss MSEL:1.978188, Test Loss MSEL:1.935880,
Train Loss mSEL:0.823990, Val Loss mSEL:0.840003, Test Loss mSEL:0.813018,
Train acc:0.511366, Val acc:0.509593, Test acc:0.515257,
Train Loss mape:4.571015, Val Loss mape:4.860064, Test Loss mape:4.054129,

# BEST, Val Loss MSEL:1.975660, Test Loss MSEL:1.932425,
