===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  7200
prediction time :  86400
cascade length [5,1000]
model save at : ../model_save/topolstm/weibo/
===================configuration===================
# Epochs:0
Train Loss MSEL:3.381001, Val Loss MSEL:3.395693, Test Loss MSEL:3.242486,
Train Loss mSEL:1.111127, Val Loss mSEL:1.102220, Test Loss mSEL:1.069255,
Train acc:0.372167, Val acc:0.375146, Test acc:0.389119,
Train Loss mape:26.016508, Val Loss mape:25.890640, Test Loss mape:24.071573,

# Epochs:32
Train Loss MSEL:3.385952, Val Loss MSEL:3.389029, Test Loss MSEL:3.261033,
Train Loss mSEL:1.117715, Val Loss mSEL:1.123741, Test Loss mSEL:1.096131,
Train acc:0.371391, Val acc:0.364160, Test acc:0.374187,
Train Loss mape:25.986668, Val Loss mape:25.401936, Test Loss mape:23.746283,

# Epochs:33
Train Loss MSEL:3.378330, Val Loss MSEL:3.405343, Test Loss MSEL:3.281632,
Train Loss mSEL:1.112694, Val Loss mSEL:1.136998, Test Loss mSEL:1.101212,
Train acc:0.372359, Val acc:0.358562, Test acc:0.367505,
Train Loss mape:26.033251, Val Loss mape:24.776520, Test Loss mape:23.166162,

# Epochs:34
Train Loss MSEL:3.375059, Val Loss MSEL:3.386895, Test Loss MSEL:3.258976,
Train Loss mSEL:1.112291, Val Loss mSEL:1.125432, Test Loss mSEL:1.099997,
Train acc:0.371155, Val acc:0.363872, Test acc:0.373720,
Train Loss mape:25.916454, Val Loss mape:25.375957, Test Loss mape:23.729303,

# Epochs:35
Train Loss MSEL:3.372257, Val Loss MSEL:3.421381, Test Loss MSEL:3.302016,
Train Loss mSEL:1.113745, Val Loss mSEL:1.157365, Test Loss mSEL:1.119910,
Train acc:0.373245, Val acc:0.356108, Test acc:0.363283,
Train Loss mape:25.997557, Val Loss mape:24.823095, Test Loss mape:23.208853,

# Epochs:36
Train Loss MSEL:3.388099, Val Loss MSEL:3.390683, Test Loss MSEL:3.259485,
Train Loss mSEL:1.116238, Val Loss mSEL:1.131820, Test Loss mSEL:1.100509,
Train acc:0.371338, Val acc:0.362742, Test acc:0.373165,
Train Loss mape:25.995667, Val Loss mape:25.368292, Test Loss mape:23.689394,

# Epochs:37
Train Loss MSEL:3.374448, Val Loss MSEL:3.391762, Test Loss MSEL:3.241027,
Train Loss mSEL:1.113623, Val Loss mSEL:1.093994, Test Loss mSEL:1.055390,
Train acc:0.372769, Val acc:0.369986, Test acc:0.385802,
Train Loss mape:26.005489, Val Loss mape:25.469975, Test Loss mape:23.741251,

# Epochs:38
Train Loss MSEL:3.375032, Val Loss MSEL:3.374509, Test Loss MSEL:3.246923,
Train Loss mSEL:1.110324, Val Loss mSEL:1.108323, Test Loss mSEL:1.074859,
Train acc:0.373024, Val acc:0.366544, Test acc:0.375989,
Train Loss mape:25.981180, Val Loss mape:25.273157, Test Loss mape:23.642097,

# Epochs:39
Train Loss MSEL:3.379752, Val Loss MSEL:3.386918, Test Loss MSEL:3.234732,
