===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  8
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/dblp/
===================configuration===================
# Epochs:0
Train Loss mape:9.872631, Val Loss mape:10.066716, Test Loss mape:10.954518,

# Epochs:40
Train Loss MSEL:1.972706, Val Loss MSEL:1.982762, Test Loss MSEL:2.042107,
Train Loss mSEL:0.865201, Val Loss mSEL:0.887102, Test Loss mSEL:0.885136,
Train acc:0.440254, Val acc:0.436288, Test acc:0.436058,
Train Loss mape:9.883904, Val Loss mape:10.216741, Test Loss mape:11.126003,

# Epochs:41
Train Loss MSEL:1.972097, Val Loss MSEL:1.973547, Test Loss MSEL:2.033873,
Train Loss mSEL:0.865687, Val Loss mSEL:0.887641, Test Loss mSEL:0.886851,
Train acc:0.439480, Val acc:0.435003, Test acc:0.435961,
Train Loss mape:9.895494, Val Loss mape:10.120484, Test Loss mape:11.040121,

# Epochs:42
Train Loss MSEL:1.972226, Val Loss MSEL:1.974041, Test Loss MSEL:2.031170,
Train Loss mSEL:0.863810, Val Loss mSEL:0.897289, Test Loss mSEL:0.903260,
Train acc:0.439735, Val acc:0.432566, Test acc:0.432653,
Train Loss mape:9.891281, Val Loss mape:10.055916, Test Loss mape:10.931635,

# Epochs:43
Train Loss MSEL:1.973508, Val Loss MSEL:1.974045, Test Loss MSEL:2.032942,
Train Loss mSEL:0.868729, Val Loss mSEL:0.896099, Test Loss mSEL:0.900255,
Train acc:0.439876, Val acc:0.430081, Test acc:0.429969,
Train Loss mape:9.873524, Val Loss mape:10.014055, Test Loss mape:10.918503,

# Epochs:44
Train Loss MSEL:1.971947, Val Loss MSEL:1.980642, Test Loss MSEL:2.039423,
Train Loss mSEL:0.870174, Val Loss mSEL:0.884289, Test Loss mSEL:0.880273,
Train acc:0.439284, Val acc:0.435933, Test acc:0.435880,
Train Loss mape:9.878744, Val Loss mape:10.165262, Test Loss mape:11.117770,

# Epochs:45
Train Loss MSEL:1.971808, Val Loss MSEL:1.987149, Test Loss MSEL:2.044470,
Train Loss mSEL:0.867526, Val Loss mSEL:0.900812, Test Loss mSEL:0.906110,
Train acc:0.440259, Val acc:0.425571, Test acc:0.427052,
Train Loss mape:9.883590, Val Loss mape:9.925876, Test Loss mape:10.811594,

# Epochs:46
Train Loss MSEL:1.969954, Val Loss MSEL:1.995596, Test Loss MSEL:2.054557,
Train Loss mSEL:0.870803, Val Loss mSEL:0.898638, Test Loss mSEL:0.892941,
Train acc:0.440288, Val acc:0.438421, Test acc:0.437081,
Train Loss mape:9.869591, Val Loss mape:10.274159, Test Loss mape:11.191346,

# Epochs:47
Train Loss MSEL:1.972727, Val Loss MSEL:1.973170, Test Loss MSEL:2.032557,
Train Loss mSEL:0.865348, Val Loss mSEL:0.892404, Test Loss mSEL:0.900365,
Train acc:0.440287, Val acc:0.431205, Test acc:0.431516,
Train Loss mape:9.910240, Val Loss mape:10.015735, Test Loss mape:10.951753,

# Epochs:48
Train Loss MSEL:1.970859, Val Loss MSEL:1.974320, Test Loss MSEL:2.032706,
Train Loss mSEL:0.865868, Val Loss mSEL:0.895166, Test Loss mSEL:0.902557,
Train acc:0.440129, Val acc:0.432861, Test acc:0.433070,
Train Loss mape:9.889136, Val Loss mape:10.081305, Test Loss mape:10.980206,

# Epochs:49
Train Loss MSEL:1.969563, Val Loss MSEL:1.974175, Test Loss MSEL:2.033733,
Train Loss mSEL:0.864551, Val Loss mSEL:0.895347, Test Loss mSEL:0.904385,
Train acc:0.441074, Val acc:0.429678, Test acc:0.430030,
Train Loss mape:9.902011, Val Loss mape:9.981180, Test Loss mape:10.885774,

# BEST, Val Loss MSEL:1.973011, Test Loss MSEL:2.031170,
